year,state_fips,track_width_yards,injuries,fatalities,property_loss,track_width_yards,start_latitude,start_longitude,track_length_miles,severe
2008.0,50.0,75.0,0.0,0.0,50000.0,75.0,44.7,-72.84,0.2,False
2015.0,20.0,30.0,0.0,0.0,50000.0,30.0,38.9241,-94.8649,0.23,False
1951.0,20.0,10.0,0.0,0.0,50.0,10.0,37.55,-99.63,0.1,False
1961.0,36.0,100.0,0.0,0.0,500000.0,100.0,43.0,-78.95,7.8,False
2021.0,1.0,150.0,2.0,0.0,100000.0,150.0,31.3984,-85.2407,4.09,True
2022.0,55.0,200.0,0.0,0.0,50000.0,200.0,45.2945,-88.013,6.6,False
1961.0,48.0,17.0,0.0,0.0,500.0,17.0,30.18,-96.97,0.2,False
1996.0,12.0,83.0,0.0,1.0,100000.0,83.0,27.83,-82.3,2.0,True
2020.0,37.0,50.0,0.0,0.0,150000.0,50.0,34.4017,-78.0595,7.82,False
1977.0,22.0,70.0,1.0,0.0,5000000.0,70.0,30.42,-90.43,1.7,True
1990.0,48.0,60.0,0.0,0.0,50000.0,60.0,34.23,-102.52,1.5,False
2005.0,12.0,75.0,0.0,0.0,440000.0,75.0,27.9,-82.8,0.7,False
1981.0,48.0,10.0,0.0,0.0,50000.0,10.0,32.73,-95.1,0.1,False
1969.0,28.0,10.0,0.0,0.0,50000.0,10.0,30.42,-88.83,0.1,False
1979.0,55.0,100.0,0.0,0.0,5000000.0,100.0,44.58,-91.47,17.6,False
1955.0,48.0,10.0,0.0,0.0,50.0,10.0,33.55,-101.92,3.8,False
1965.0,22.0,33.0,0.0,0.0,500.0,33.0,31.05,-92.0,0.5,False
1980.0,48.0,10.0,0.0,0.0,50000.0,10.0,33.28,-99.07,0.1,False
1972.0,20.0,80.0,0.0,0.0,500000.0,80.0,39.62,-100.45,2.3,False
1981.0,20.0,50.0,0.0,0.0,500000.0,50.0,37.42,-100.85,32.3,False
2021.0,51.0,50.0,0.0,0.0,5000.0,50.0,36.66,-76.72,1.38,False
1964.0,31.0,10.0,0.0,0.0,50000.0,10.0,40.82,-98.6,0.1,False
2022.0,4.0,10.0,0.0,0.0,50000.0,10.0,34.72,-112.26,0.1,False
1998.0,26.0,30.0,0.0,0.0,50000.0,30.0,44.67,-84.77,0.1,False
2003.0,17.0,35.0,0.0,0.0,10000.0,35.0,41.87,-90.17,0.2,False
2012.0,50.0,100.0,0.0,0.0,10000.0,100.0,44.6965,-72.2609,0.27,False
1991.0,37.0,10.0,0.0,0.0,50000.0,10.0,34.72,-76.85,0.1,False
1986.0,20.0,100.0,0.0,0.0,5000.0,100.0,37.03,-99.45,0.2,False
2001.0,20.0,110.0,0.0,0.0,50000.0,110.0,37.03,-97.42,1.0,False
1977.0,48.0,10.0,0.0,0.0,50000.0,10.0,34.82,-101.05,0.1,False
2020.0,12.0,25.0,0.0,0.0,50000.0,25.0,29.9394,-82.3885,0.01,False
2002.0,13.0,20.0,0.0,0.0,10000.0,20.0,31.45,-82.22,0.2,False
2012.0,12.0,10.0,0.0,0.0,5000.0,10.0,26.84,-81.52,0.01,False
1968.0,48.0,100.0,0.0,0.0,500.0,100.0,32.37,-97.42,0.1,False
1989.0,48.0,10.0,1.0,0.0,50000.0,10.0,29.52,-94.48,0.2,True
1965.0,26.0,300.0,142.0,5.0,5000000.0,300.0,43.02,-85.92,20.6,True
1987.0,46.0,20.0,0.0,0.0,50000.0,20.0,43.88,-99.72,0.2,False
2014.0,8.0,75.0,0.0,0.0,50000.0,75.0,38.374,-105.139,0.96,False
1982.0,22.0,10.0,0.0,0.0,50.0,10.0,31.18,-92.33,0.5,False
2001.0,46.0,100.0,0.0,0.0,50000.0,100.0,43.03,-103.85,5.0,False
2003.0,34.0,50.0,0.0,0.0,50000.0,50.0,40.67,-74.63,0.2,False
1980.0,27.0,100.0,0.0,0.0,500000.0,100.0,43.97,-91.85,5.7,False
2020.0,13.0,500.0,0.0,0.0,350000.0,500.0,31.42,-84.0,8.72,False
1983.0,26.0,500.0,0.0,0.0,50000.0,500.0,41.98,-84.1,5.9,False
2017.0,38.0,75.0,0.0,0.0,50000.0,75.0,47.25,-98.22,0.1,False
1992.0,27.0,40.0,0.0,0.0,50000.0,40.0,44.0,-95.85,13.0,False
1964.0,48.0,20.0,1.0,0.0,500.0,20.0,31.27,-100.8,1.0,True
1984.0,46.0,10.0,0.0,0.0,50000.0,10.0,43.47,-98.27,0.1,False
1986.0,48.0,10.0,0.0,0.0,50000.0,10.0,31.3,-96.9,0.2,False
1968.0,27.0,10.0,0.0,0.0,50000.0,10.0,45.62,-94.22,0.1,False
1960.0,56.0,33.0,0.0,0.0,50000.0,33.0,41.57,-106.95,1.0,False
2021.0,19.0,150.0,0.0,0.0,225000.0,150.0,42.1489,-94.282,18.83,False
2006.0,40.0,440.0,8.0,0.0,3050000.0,440.0,36.1,-95.1,29.0,True
2001.0,45.0,30.0,0.0,0.0,50000.0,30.0,33.82,-80.77,5.0,False
1997.0,25.0,100.0,0.0,0.0,50000.0,100.0,42.63,-72.88,8.5,False
1995.0,48.0,300.0,4.0,0.0,5000000.0,300.0,32.83,-97.25,10.0,True
1951.0,40.0,10.0,0.0,0.0,500.0,10.0,36.82,-100.53,0.1,False
1980.0,46.0,10.0,0.0,0.0,50000.0,10.0,44.75,-99.2,0.1,False
1959.0,40.0,300.0,0.0,0.0,5000.0,300.0,36.62,-95.27,1.0,False
2014.0,17.0,75.0,0.0,0.0,7000.0,75.0,37.5429,-89.0922,3.18,False
1967.0,5.0,10.0,0.0,0.0,50000.0,10.0,33.02,-91.9,0.1,False
1998.0,46.0,30.0,0.0,0.0,50000.0,30.0,43.37,-103.93,5.0,False
1973.0,21.0,10.0,2.0,0.0,50000.0,10.0,38.87,-84.38,4.0,True
1956.0,40.0,10.0,0.0,0.0,500.0,10.0,34.97,-97.93,35.4,False
1977.0,40.0,440.0,0.0,0.0,5000000.0,440.0,36.65,-102.4,38.6,False
1972.0,40.0,10.0,0.0,0.0,50000.0,10.0,36.13,-95.92,1.0,False
2005.0,28.0,600.0,6.0,0.0,11000000.0,600.0,32.13,-90.12,15.0,True
2005.0,40.0,150.0,0.0,0.0,50000.0,150.0,34.55,-98.25,3.5,False
2011.0,20.0,40.0,0.0,0.0,50000.0,40.0,38.8831,-94.6669,0.05,False
1995.0,19.0,30.0,0.0,0.0,50000.0,30.0,41.6,-90.28,0.2,False
1954.0,42.0,67.0,0.0,0.0,500.0,67.0,40.75,-78.67,1.0,False
1955.0,40.0,10.0,0.0,0.0,50000.0,10.0,36.35,-96.8,45.6,False
2012.0,8.0,50.0,0.0,0.0,50000.0,50.0,39.41,-104.67,0.1,False
2011.0,40.0,100.0,0.0,0.0,50000.0,100.0,36.1975,-94.5859,0.5,False
1979.0,35.0,10.0,0.0,0.0,50000.0,10.0,33.25,-103.32,0.1,False
1980.0,55.0,67.0,4.0,0.0,500000.0,67.0,43.48,-88.97,1.2,True
2000.0,20.0,50.0,0.0,0.0,50000.0,50.0,37.07,-95.95,0.2,False
1959.0,40.0,10.0,0.0,0.0,50000.0,10.0,36.77,-95.77,2.0,False
1984.0,56.0,10.0,0.0,0.0,5000.0,10.0,44.83,-108.38,0.5,False
2013.0,18.0,75.0,0.0,0.0,20000.0,75.0,38.45,-87.1,0.59,False
2018.0,45.0,100.0,0.0,0.0,50000.0,100.0,34.011,-81.2106,0.43,False
1972.0,12.0,100.0,1.0,0.0,500000.0,100.0,28.73,-80.75,1.0,True
1960.0,48.0,33.0,0.0,0.0,50000.0,33.0,31.1,-96.35,0.5,False
1995.0,8.0,10.0,0.0,0.0,50000.0,10.0,40.07,-104.3,0.5,False
1994.0,45.0,100.0,11.0,0.0,500000.0,100.0,33.87,-79.73,0.5,True
1971.0,17.0,10.0,0.0,0.0,50000.0,10.0,40.43,-90.7,0.1,False
2019.0,29.0,880.0,1.0,3.0,1015000.0,880.0,37.308,-94.2343,11.29,True
1988.0,55.0,20.0,0.0,0.0,50000.0,20.0,46.3,-90.92,4.0,False
1987.0,39.0,60.0,0.0,0.0,50000.0,60.0,41.38,-84.53,1.3,False
1996.0,48.0,50.0,0.0,0.0,40000.0,50.0,29.2,-96.28,0.5,False
1971.0,48.0,33.0,0.0,0.0,500000.0,33.0,30.43,-97.35,31.7,False
1996.0,20.0,30.0,0.0,0.0,50000.0,30.0,39.9,-100.87,1.0,False
1951.0,20.0,10.0,0.0,0.0,5000.0,10.0,39.35,-96.45,7.7,False
2004.0,12.0,1.0,0.0,0.0,50000.0,1.0,29.77,-81.38,2.0,False
1993.0,8.0,10.0,0.0,0.0,50000.0,10.0,39.05,-102.27,0.1,False
1998.0,17.0,300.0,0.0,0.0,50000.0,300.0,38.5,-89.03,4.0,False
1952.0,31.0,33.0,0.0,0.0,50000.0,33.0,41.2,-103.03,2.0,False
1999.0,37.0,30.0,5.0,0.0,200000.0,30.0,34.72,-78.78,0.1,True
1970.0,48.0,67.0,0.0,0.0,5000.0,67.0,30.35,-94.17,0.1,False
2020.0,48.0,150.0,5.0,0.0,50000.0,150.0,32.692,-97.1472,5.05,True
1979.0,27.0,100.0,0.0,0.0,5000000.0,100.0,43.93,-94.93,9.2,False
1992.0,48.0,10.0,0.0,0.0,50000.0,10.0,33.23,-97.48,0.1,False
2009.0,20.0,75.0,0.0,0.0,50000.0,75.0,38.28,-96.85,1.29,False
1966.0,29.0,150.0,26.0,0.0,5000000.0,150.0,38.78,-90.52,2.7,True
1956.0,13.0,33.0,0.0,0.0,5000.0,33.0,32.38,-83.1,0.3,False
1992.0,27.0,30.0,0.0,0.0,50000.0,30.0,44.32,-95.62,2.0,False
